"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Brunei Darussalam",99,97.4,100,96.8,97,99,94.4,91,98.6,96,97
"Cambodia",80,76.9,78,79,80,81,81.9,93,93,93,94
"Indonesia ",77.2,72.5,78.2,75.9,75.5,77.2,77.7,76.9,78,77.9,78.7
"Lao's PDR",36,69,48,40,40,59,78,69,72,82,87
"Malaysia ",71.2,68.3,65.4,87.5,94.3,96.9,96.1,95.2,95.5,95.3,94
"Myanmar",78,72,78,81,82,87,88,84.9,84,86,88
"Philippines",80,80,92,92,92,88,88,79,85,90,88
"Singapore",94,96,93,95,95,95,95,95,95,95,94
"Thailand",96,96,96,96,96,98,98,98,98,98,99
"Viet Nam",97,95,96.4,82.8,95.6,97,97.8,96.5,96.4,97.7,86.2
